"id","tool_name","bleu_score","cosine_similarity","lsa_score"
159,"Marefa","0.09425989679058465","0.2213790361982964","0.15112380626956562"
172,"Marefa","0.32504658872819353","0.5135280972723808","0.3751745964617825"
160,"MarianMT","0.22417291989478172","0.5161466060400494","0.3598928734300145"
182,"Fine-tuned MarianMT","0.1974816726393227","0.4427534623151065","0.30200194189368507"
161,"Fine-tuned MarianMT","0.13542161421369292","0.464119683462482","0.3103486539287835"
173,"MarianMT","6.216405262821999e-103","0.21996606822199524","0.1270160291012413"
190,"Fine-tuned MarianMT","0.09499327513057298","0.39810970212389063","0.2520395547599266"
183,"Google Translate","0.2141668374051277","0.4611089882323909","0.31092113651731773"
174,"Fine-tuned MarianMT","7.36910155657291e-103","0.2649753572166829","0.15546018200347328"
175,"Google Translate","0.104148554984078","0.27267416943975586","0.17120680339362102"
203,"Fine-tuned MarianMT","0.12284259198075939","0.30517944855126306","0.2131349180999337"
184,"Marefa","0.16106299103779093","0.3495946371319317","0.23989155870536605"
176,"Marefa","7.112711590120196e-103","0.1919706975809301","0.11492439875972384"
196,"Marefa","0.13714752606141986","0.3210466260206414","0.20972749500989737"
177,"MarianMT","0.062461255407836494","0.2129776226861093","0.15142807363292016"
191,"Google Translate","0.17950356953308938","0.49022405652685425","0.327070367203971"
185,"MarianMT","0.18850741815206035","0.522536977200528","0.3645398126495689"
186,"Fine-tuned MarianMT","0.1194537705982349","0.41135585259822016","0.2749630543873421"
192,"Marefa","0.10688885583740776","0.4148850515298089","0.2588605419262208"
187,"Google Translate","0.17342345305616053","0.4754230611372064","0.3331626696798229"
201,"Marefa","0.2195823473713779","0.44443209482347423","0.3122114293912599"
193,"MarianMT","0.10915791424923735","0.3226901399758034","0.20736107886040542"
198,"MarianMT","0.2621992547678973","0.48723510142545823","0.34245508955830545"
194,"Fine-tuned MarianMT","0.16350526508003616","0.33417570029343546","0.22926316776541739"
199,"Fine-tuned MarianMT","0.24302769967033291","0.4658715854942756","0.325581172495696"
205,"Google Translate","0.1841051617975109","0.3161938322087516","0.22143061091903662"
204,"Fine-tuned MarianMT","0.12284259198075939","0.30517944855126306","0.2131349180999365"
202,"MarianMT","0.14826444633601896","0.30970423796899305","0.20767198473127288"
207,"MarianMT","0.2009347187856215","0.4490255448870736","0.3024962383156153"
208,"Fine-tuned MarianMT","0.09458617807535896","0.3661689508949466","0.22713841184433378"
209,"Fine-tuned MarianMT","0.09458617807535896","0.3661689508949466","0.22713841184433398"
210,"Google Translate","0.10060224018680894","0.3623413933455022","0.21882075800970777"
211,"Marefa","0.13254931302306341","0.386129707245533","0.25301641111491757"
212,"MarianMT","0.060118091917484025","0.2355245065760389","0.14658755710311155"
213,"Fine-tuned MarianMT","6.991695958819531e-103","0.25929127211589376","0.15649290125115892"
214,"Google Translate","0.059432080696631064","0.20133191156417735","0.1217377608445159"
